DateTime,ssx10mag10cp930,ssx10pab20ct001,ssx10pab10ct001,ssxtg_2ce003,ssx10lca10ct001,ssx10pab10cf001,ssx10lbg11cp920,ssx10lbg40cp920,ssx10pab60ct001,ssx10pab30ct001,ssx10maa01cp001,ssx10lca20cf001,ssx10maa01ct001,ssx10pab30cf001
2024-07-22 11:45:24.387492,10.814565,44.593937,30.323725,54.680206,45.950565,2396.2842,0.5092451,102.65632,45.438156,29.812645,6.233531,209.72716,486.1816,2394.8508
2024-07-22 11:45:25.387492,10.82951,44.575787,30.323725,54.66678,45.93864,2399.7942,0.509031,102.70084,45.433197,29.810648,6.2330627,209.53796,486.1272,2412.654
2024-07-22 11:45:26.387492,10.809782,44.57737,30.323421,54.652702,45.943817,2403.4077,0.50920224,102.64758,45.437515,29.811481,6.2334957,209.4455,486.25223,2386.4375
2024-07-22 11:45:27.387492,10.799914,44.5953,30.32302,54.658302,45.949974,2411.9956,0.5090714,102.66913,45.431168,29.811047,6.2331285,209.58342,486.28436,2409.181
2024-07-22 11:45:28.387492,10.79487,44.574818,30.322657,54.639656,45.946495,2399.4436,0.509148,102.66396,45.40769,29.810545,6.2340374,209.5407,486.4641,2402.9773
2024-07-22 11:45:29.387492,10.808984,44.541695,30.323238,54.635,45.947342,2444.757,0.50899494,102.65198,45.4357,29.810602,6.2335997,209.98607,486.421,2405.691
2024-07-22 11:45:30.387492,10.805167,44.57401,30.321371,54.64894,45.938366,2416.6877,0.5090672,102.63369,45.396545,29.810562,6.233314,210.38513,486.42297,2415.0889
2024-07-22 11:45:31.387492,10.80372,44.560383,30.322569,54.64372,45.959,2441.3376,0.5091162,102.63191,45.425995,29.81029,6.233294,210.55257,486.30328,2426.0513
2024-07-22 11:45:32.387492,10.797065,44.556316,30.32204,54.623604,45.940594,2438.472,0.50907123,102.61889,45.379494,29.811195,6.2335634,210.25842,486.317,2440.3328
2024-07-22 11:45:33.387492,10.798533,44.515892,30.322958,54.62782,45.933556,2448.6614,0.508997,102.60612,45.405445,29.809696,6.233099,210.50517,486.53485,2425.3538
2024-07-22 11:45:34.387492,10.790062,44.528538,30.322989,54.62143,45.94038,2438.7913,0.5087647,102.625534,45.400974,29.809824,6.233615,210.4416,486.48727,2430.4934
2024-07-22 11:45:35.387492,10.786514,44.5714,30.322584,54.618965,45.941376,2450.9963,0.50917095,102.63961,45.400352,29.809856,6.2338724,210.08354,486.4268,2416.362
2024-07-22 11:45:36.387492,10.795103,44.503643,30.322056,54.59399,45.931034,2455.1194,0.5089926,102.60178,45.398167,29.8099,6.2338257,210.1852,486.41122,2442.481
2024-07-22 11:45:37.387492,10.789078,44.49655,30.321743,54.598328,45.931892,2443.943,0.5089551,102.643036,45.388744,29.810232,6.2337694,209.98532,486.42737,2452.2295
2024-07-22 11:45:38.387492,10.773715,44.545803,30.321743,54.58966,45.928814,2465.1792,0.5087717,102.63905,45.42467,29.808876,6.233568,210.27187,486.4699,2433.4753
2024-07-22 11:45:39.387492,10.783808,44.50708,30.321548,54.573742,45.955612,2477.4055,0.5090186,102.60062,45.378628,29.808973,6.2331843,210.16711,486.54953,2458.0222
2024-07-22 11:45:40.387492,10.767336,44.540855,30.32182,54.59078,45.91662,2475.4004,0.5088574,102.64938,45.382835,29.808266,6.233182,210.03114,486.35074,2459.888
2024-07-22 11:45:41.387492,10.773792,44.491554,30.321997,54.581387,45.917202,2474.0195,0.50885016,102.63295,45.379208,29.809555,6.23363,210.58913,485.95053,2451.4934
2024-07-22 11:45:42.387492,10.769018,44.453796,30.32173,54.576786,45.93198,2484.4473,0.50901467,102.584496,45.38905,29.809658,6.233557,210.67964,486.407,2468.3123
2024-07-22 11:45:43.387492,10.758067,44.4569,30.32274,54.57648,45.915955,2480.5066,0.50937784,102.60836,45.388165,29.808798,6.2335134,210.30518,486.21225,2469.387
2024-07-22 11:45:44.387492,10.756534,44.4221,30.321556,54.582767,45.907936,2477.153,0.50890917,102.58912,45.377068,29.810238,6.234062,210.2701,486.49713,2481.785
2024-07-22 11:45:45.387492,10.761293,44.458572,30.322361,54.570694,45.93222,2484.638,0.50903434,102.58671,45.362568,29.810066,6.234332,210.30396,486.33417,2478.229
2024-07-22 11:45:46.387492,10.756082,44.506035,30.321539,54.555195,45.91493,2487.3079,0.5088989,102.60614,45.353607,29.809227,6.2333627,210.03917,486.1532,2476.626
2024-07-22 11:45:47.387492,10.751772,44.464787,30.322746,54.578392,45.93871,2491.0984,0.5087584,102.564514,45.357456,29.80922,6.2344246,210.10966,486.24588,2502.5955
